radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
172.585702,0.346,9.567398,0.356,14.159,0.027,4,14.951,0.079,4,NA,NA,0,14.505,0.034,4,13.956,0.05,4,13.777,0.052,4,13.889,0.25,1,NA,NA,0
172.585839,0.457,9.258882,0.545,NA,NA,0,NA,NA,0,NA,NA,0,17.677,0.103,4,16.588,0.102,4,16.268,0.105,4,NA,NA,0,NA,NA,0
172.588112,0.745,9.027887,0.688,NA,NA,0,NA,NA,0,NA,NA,0,18.243,0.091,2,17.734,0.253,2,NA,NA,0,NA,NA,0,NA,NA,0
172.588121,0.542,9.769346,0.452,NA,NA,0,NA,NA,0,NA,NA,0,17.902,0.179,4,16.521,0.107,4,15.689,0.075,4,NA,NA,0,NA,NA,0
172.588667,0.394,9.407923,0.43,14.122,0.023,4,15.179,0.061,4,NA,NA,0,14.605,0.034,4,13.804,0.031,4,13.472,0.052,4,13.326,0.426,3,NA,NA,0
172.590871,0.283,9.173069,0.341,16.003,0.092,4,17.027,0.075,4,NA,NA,0,16.432,0.031,4,15.68,0.063,4,15.447,0.046,4,NA,NA,0,NA,NA,0
172.594231,0.463,9.772121,0.222,16.338,0.087,5,17.423,0.111,5,NA,NA,0,16.907,0.122,5,15.985,0.075,5,15.534,0.079,5,NA,NA,0,NA,NA,0
172.595344,0.502,8.990966,0.385,NA,NA,0,NA,NA,0,NA,NA,0,18.133,0.165,2,17.335,0.059,2,NA,NA,0,NA,NA,0,NA,NA,0
172.595558,0.456,9.004011,0.091,NA,NA,0,NA,NA,0,NA,NA,0,18.156,0.171,1,17.728,0.251,1,NA,NA,0,NA,NA,0,NA,NA,0
172.597539,0.284,9.270625,0.226,15.726,0.043,4,16.563,0.084,4,NA,NA,0,16.105,0.069,4,15.512,0.07,4,15.225,0.093,4,NA,NA,0,NA,NA,0
172.597948,0.378,9.087549,0.567,17.342,0.209,1,18.012,0.268,1,NA,NA,0,17.527,0.097,3,16.884,0.183,3,17.024,0.394,1,NA,NA,0,NA,NA,0
172.604273,0.515,9.297824,0.427,NA,NA,0,NA,NA,0,NA,NA,0,18.148,0.168,3,16.759,0.062,3,16.001,0.062,3,NA,NA,0,NA,NA,0
172.604547,0.327,9.108685,0.097,8.127,0.002,2,8.606,0.146,2,NA,NA,0,8.604,0.002,1,7.989,0.002,1,7.996,0.003,1,8.064,0.072,2,NA,NA,0
172.605883,0.474,9.842946,0.431,17.171,0.107,3,17.756,0.224,3,NA,NA,0,17.351,0.098,5,16.724,0.037,5,16.278,0.228,5,NA,NA,0,NA,NA,0
172.606674,0.399,9.8313,0.433,17.684,0.045,3,17.955,0.193,4,NA,NA,0,17.734,0.16,4,17.316,0.184,4,NA,NA,0,NA,NA,0,NA,NA,0
172.608705,0.252,9.694164,0.224,15.401,0.076,5,16.002,0.084,5,NA,NA,0,15.635,0.051,5,15.219,0.066,5,15.172,0.077,5,NA,NA,0,NA,NA,0
172.609308,0.401,8.990811,0.436,17.41,0.044,2,18.158,0.1,2,NA,NA,0,17.97,0.105,2,17.675,0.002,2,NA,NA,0,NA,NA,0,NA,NA,0
172.612811,0.404,8.981276,0.184,16.173,0.065,4,16.976,0.098,4,NA,NA,0,16.482,0.023,4,15.95,0.068,4,15.848,0.142,4,NA,NA,0,NA,NA,0
172.615328,0.303,9.563619,0.341,17.015,0.295,2,17.125,0.34,2,NA,NA,0,17.127,0.589,3,17.005,0.376,3,16.884,0.337,1,NA,NA,0,NA,NA,0
172.615591,0.266,9.769202,0.302,NA,NA,0,NA,NA,0,NA,NA,0,18.313,0.021,2,17.521,0.171,2,NA,NA,0,NA,NA,0,NA,NA,0
172.616612,0.422,9.550986,0.331,16.935,0.069,4,17.126,0.058,4,NA,NA,0,17.03,0.112,4,17.169,0.088,4,NA,NA,0,NA,NA,0,NA,NA,0
172.618348,0.669,9.470045,0.44,17.165,0.024,3,17.646,0.116,3,NA,NA,0,17.437,0.065,4,16.832,0.062,4,16.394,0.1,2,NA,NA,0,NA,NA,0
172.618616,0.153,9.759571,0.136,12.755,0.043,5,13.869,0.11,5,NA,NA,0,13.275,0.041,5,12.399,0.038,5,12.076,0.029,5,12.007,0.027,3,NA,NA,0
172.619023,0.283,9.189204,0.373,16.594,0.044,4,17.396,0.149,4,NA,NA,0,17.01,0.029,4,16.336,0.073,4,15.987,0.214,4,NA,NA,0,NA,NA,0
172.620036,0.445,9.136559,0.231,16.263,0.074,4,17.192,0.118,4,NA,NA,0,16.743,0.116,4,16.164,0.072,4,16.075,0.048,4,NA,NA,0,NA,NA,0
172.623621,1.014,9.388168,0.685,16.362,0.041,2,17.269,0.064,2,NA,NA,0,16.83,0.033,2,16.027,0.067,1,15.786,0.063,2,NA,NA,0,NA,NA,0
172.626222,0.358,9.739685,0.386,16.221,0.118,5,17.248,0.052,5,NA,NA,0,16.769,0.031,5,15.804,0.037,5,15.179,0.052,5,NA,NA,0,NA,NA,0
172.628232,0.734,9.535963,0.465,NA,NA,0,NA,NA,0,NA,NA,0,17.985,0.129,2,17.344,0.119,2,NA,NA,0,NA,NA,0,NA,NA,0
172.630575,0.338,9.336859,0.178,10.238,0.022,6,11.274,0.075,4,NA,NA,0,10.708,0.044,5,9.888,0.022,2,9.663,0.023,2,9.626,0.104,2,NA,NA,0
172.631499,0.488,8.900267,0.364,17.21,0.066,3,17.923,0.137,3,NA,NA,0,17.48,0.06,4,16.853,0.107,4,16.374,0.197,1,NA,NA,0,NA,NA,0
172.632344,0.366,9.27515,0.402,14.305,0.009,4,15.051,0.064,4,NA,NA,0,14.631,0.04,4,14.099,0.03,4,13.902,0.049,4,13.837,0.223,1,NA,NA,0
