radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
256.38257,0.219,30.183082,0.17,16.375,0.012,2,17.003,0.108,2,NA,NA,0,16.554,0.008,2,16.269,0.011,2,15.935,0.056,2,NA,NA,0,NA,NA,0
256.383347,0.401,29.959048,0.201,16.897,0.092,2,17.651,0.342,2,NA,NA,0,17.056,0.028,2,16.717,0.002,2,NA,NA,0,NA,NA,0,NA,NA,0
256.383509,0.109,29.946395,0.144,15.238,0.03,2,15.972,0.054,2,NA,NA,0,15.518,0.021,2,15.107,0.062,2,14.963,0.032,2,NA,NA,0,NA,NA,0
256.384045,0.159,30.526677,0.199,15.521,0.06,2,16.392,0.033,2,NA,NA,0,15.883,0.006,2,15.314,0.03,2,15,0.01,2,NA,NA,0,NA,NA,0
256.384494,0.148,30.490092,0.184,15.62,0.042,2,16.382,0.056,2,NA,NA,0,15.905,0.006,2,15.274,0.022,2,14.895,0.002,2,NA,NA,0,NA,NA,0
256.385644,0.163,30.25851,0.173,16.768,0.108,1,17.604,0.152,1,NA,NA,0,16.924,0.057,2,16.463,0.115,2,16.182,0.159,1,NA,NA,0,NA,NA,0
256.385701,0.186,30.261432,0.208,NA,NA,0,NA,NA,0,NA,NA,0,17.427,0.078,1,17.001,0.126,1,16.61,0.238,1,NA,NA,0,NA,NA,0
256.38647,0.141,30.291906,0.102,15.187,0.019,2,15.851,0.066,2,NA,NA,0,15.466,0.01,2,14.976,0.038,2,14.729,0.003,2,NA,NA,0,NA,NA,0
256.38655,0.319,30.429269,0.218,16.301,0.171,2,16.951,0.054,2,NA,NA,0,16.509,0.023,2,16.006,0.016,2,15.807,0.105,2,NA,NA,0,NA,NA,0
256.386828,0.121,30.418607,0.308,12.892,0.009,2,13.401,0.001,2,NA,NA,0,13.061,0.011,2,12.793,0.038,2,12.667,0.001,2,NA,NA,0,NA,NA,0
256.387855,0.446,30.315576,0.458,17.159,0.136,1,18.115,0.224,1,NA,NA,0,17.35,0.055,2,17.088,0.147,2,16.959,0.302,1,NA,NA,0,NA,NA,0
256.388541,0.628,30.246403,0.451,NA,NA,0,NA,NA,0,NA,NA,0,17.54,0.108,2,17.161,0.133,2,NA,NA,0,NA,NA,0,NA,NA,0
256.388896,0.101,30.480989,0.137,17.334,0.165,1,17.902,0.196,1,NA,NA,0,17.896,0.121,1,17.448,0.189,1,NA,NA,0,NA,NA,0,NA,NA,0
256.390143,0.049,30.52425,0.391,NA,NA,0,NA,NA,0,NA,NA,0,18.159,0.143,1,16.987,0.122,1,NA,NA,0,NA,NA,0,NA,NA,0
256.390386,0.346,29.971216,0.253,16.45,0.075,1,17.619,0.145,1,NA,NA,0,16.954,0.084,2,16.241,0.042,2,16.039,0.026,2,NA,NA,0,NA,NA,0
256.391437,0.485,30.20619,0.171,16.902,0.048,2,17.778,0.376,2,NA,NA,0,17.167,0.029,2,16.58,0.026,2,16.194,0.164,1,NA,NA,0,NA,NA,0
256.392637,0.141,30.283922,0.247,15.548,0.005,2,16.479,0.085,2,NA,NA,0,15.894,0.027,2,15.26,0.045,2,14.914,0.047,2,NA,NA,0,NA,NA,0
256.395262,0.121,29.910286,0.113,13.649,0.024,2,14.282,0.018,2,NA,NA,0,13.884,0.021,2,13.481,0.023,2,13.272,0.051,2,NA,NA,0,NA,NA,0
256.396118,0.288,29.950142,0.349,17.598,0.199,1,17.895,0.196,1,NA,NA,0,17.957,0.036,2,17.38,0.002,2,NA,NA,0,NA,NA,0,NA,NA,0
256.396745,0.077,29.928969,0.246,NA,NA,0,NA,NA,0,NA,NA,0,18.223,0.147,1,17.421,0.18,1,NA,NA,0,NA,NA,0,NA,NA,0
256.397281,0.353,30.291953,0.153,NA,NA,0,NA,NA,0,NA,NA,0,18.048,0.127,1,17.448,0.181,1,NA,NA,0,NA,NA,0,NA,NA,0
256.397795,0.065,30.348837,0.098,13.849,0.01,2,14.411,0.021,2,NA,NA,0,14.045,0.016,2,13.728,0.015,2,13.543,0.041,2,NA,NA,0,NA,NA,0
256.398071,0.138,30.00026,0.135,14.731,0.011,2,15.358,0.015,2,NA,NA,0,14.959,0.01,2,14.57,0.011,2,14.338,0.031,2,NA,NA,0,NA,NA,0
256.399792,0.272,30.261145,0.354,16.761,0.099,1,18.479,0.311,1,NA,NA,0,17.341,0.038,2,16.014,0.005,2,15.323,0.05,2,NA,NA,0,NA,NA,0
256.402352,0.038,30.297346,0.031,NA,NA,0,NA,NA,0,NA,NA,0,18.234,0.146,1,17.327,0.159,1,NA,NA,0,NA,NA,0,NA,NA,0
256.404805,0.2,30.151386,0.323,NA,NA,0,NA,NA,0,NA,NA,0,17.787,0.109,1,17.444,0.192,1,NA,NA,0,NA,NA,0,NA,NA,0
256.407122,0.41,30.095619,0.474,17.537,0.194,1,17.944,0.197,1,NA,NA,0,17.793,0.099,1,17.479,0.176,1,NA,NA,0,NA,NA,0,NA,NA,0
256.407702,0.377,30.116231,0.076,NA,NA,0,NA,NA,0,NA,NA,0,17.752,0.094,1,17.222,0.149,1,NA,NA,0,NA,NA,0,NA,NA,0
256.409857,0.134,30.340651,0.232,16.167,0.039,2,16.714,0.047,2,NA,NA,0,16.387,0.002,2,16.006,0.069,2,15.786,0.029,2,NA,NA,0,NA,NA,0
256.410069,0.346,29.875141,0.303,16.411,0.013,2,17.007,0.126,2,NA,NA,0,16.646,0.059,2,16.26,0.094,2,15.881,0.12,1,NA,NA,0,NA,NA,0
256.41038,0.077,30.485246,0.165,15.599,0.024,2,16.395,0.009,2,NA,NA,0,15.938,0.014,2,15.289,0.039,2,15.141,0.084,2,NA,NA,0,NA,NA,0
256.413195,0.232,30.15003,0.225,16.009,0.054,2,17.194,0.053,2,NA,NA,0,16.585,0.03,2,15.342,0.013,2,14.77,0.019,2,NA,NA,0,NA,NA,0
256.414852,0.113,30.164276,0.078,14.898,0.044,2,15.56,0.044,2,NA,NA,0,15.163,0.01,2,14.716,0.017,2,14.538,0.034,2,NA,NA,0,NA,NA,0
256.415522,0.121,30.228628,0.095,17.48,0.188,1,18.182,0.247,1,NA,NA,0,17.64,0.2,2,16.757,0.195,2,16.274,0.17,1,NA,NA,0,NA,NA,0
256.41781,0.207,30.147138,0.136,15.265,0.014,2,15.789,0.034,2,NA,NA,0,15.42,0.033,2,15.101,0.007,2,14.915,0.007,2,NA,NA,0,NA,NA,0
256.418614,0.134,30.438971,0.314,14.916,0.015,2,15.597,0.028,2,NA,NA,0,15.167,0.027,2,14.662,0.059,2,14.391,0.084,2,NA,NA,0,NA,NA,0
256.420311,0.491,29.911664,0.346,16.687,0.126,1,17.852,0.253,1,NA,NA,0,17.486,0.117,2,16.828,0.197,2,16.36,0.194,1,NA,NA,0,NA,NA,0
256.420642,0.182,29.954749,0.133,NA,NA,0,NA,NA,0,NA,NA,0,18.36,0.172,1,17.352,0.182,1,NA,NA,0,NA,NA,0,NA,NA,0
256.421437,0.095,29.968787,0.076,14.651,0.024,2,15.319,0.033,2,NA,NA,0,14.905,0.032,2,14.433,0.04,2,14.302,0.022,2,NA,NA,0,NA,NA,0
256.422912,0.212,30.448472,0.123,15.384,0.015,2,16.026,0.038,2,NA,NA,0,15.55,0.016,2,15.09,0.035,2,14.878,0.035,2,NA,NA,0,NA,NA,0
256.422965,0.244,30.437997,0.243,16.465,0.092,2,17.041,0.071,2,NA,NA,0,16.774,0.044,1,16.205,0.063,1,16.212,0.163,1,NA,NA,0,NA,NA,0
256.423254,0.397,30.077465,0.18,16.192,0.043,2,16.925,0.044,2,NA,NA,0,16.511,0.026,2,16.029,0.022,2,15.908,0.038,2,NA,NA,0,NA,NA,0
256.423968,0.128,29.909398,0.299,NA,NA,0,NA,NA,0,NA,NA,0,17.858,0.008,2,17.112,0,2,NA,NA,0,NA,NA,0,NA,NA,0
256.425463,0.351,30.136173,0.199,16.966,0.114,1,17.735,0.159,1,NA,NA,0,17.293,0.122,2,17.091,0.065,2,16.541,0.225,1,NA,NA,0,NA,NA,0
256.425784,0.655,30.478846,0.194,NA,NA,0,NA,NA,0,NA,NA,0,17.96,0.121,1,17.609,0.205,1,NA,NA,0,NA,NA,0,NA,NA,0
256.426005,0.282,30.055373,0.338,NA,NA,0,NA,NA,0,NA,NA,0,18.262,0.085,2,16.755,0.061,2,16.56,0.233,1,NA,NA,0,NA,NA,0
256.426586,0.199,30.422118,0.148,NA,NA,0,NA,NA,0,NA,NA,0,17.735,0.1,1,16.642,0.091,1,15.875,0.129,1,NA,NA,0,NA,NA,0
256.428302,0.486,30.341517,0.421,17.185,0.2,1,17.326,0.162,1,NA,NA,0,17.176,0.037,2,16.848,0.075,2,16.19,0.163,1,NA,NA,0,NA,NA,0
256.428622,0.175,30.250623,0.097,NA,NA,0,NA,NA,0,NA,NA,0,17.803,0.099,1,17.67,0.214,1,NA,NA,0,NA,NA,0,NA,NA,0
256.428973,0.58,29.980443,0.143,15.118,0.015,2,16.25,0.092,2,NA,NA,0,15.661,0.011,2,14.674,0.021,2,14.179,0.044,2,NA,NA,0,NA,NA,0
256.429752,0.28,29.993189,0.159,NA,NA,0,NA,NA,0,NA,NA,0,17.557,0.084,2,16.648,0.03,2,16.487,0.224,1,NA,NA,0,NA,NA,0
256.429885,0.161,29.878466,0.238,NA,NA,0,NA,NA,0,NA,NA,0,17.791,0.052,2,17.52,0.186,2,NA,NA,0,NA,NA,0,NA,NA,0
256.430169,0.23,30.087992,0.214,16.086,0.027,2,17.213,0.064,2,NA,NA,0,16.557,0.01,2,15.96,0.04,2,15.58,0.142,2,NA,NA,0,NA,NA,0
256.431003,0.319,30.092378,0.134,NA,NA,0,NA,NA,0,NA,NA,0,17.486,0.073,2,16.631,0.067,2,NA,NA,0,NA,NA,0,NA,NA,0
256.43159,0.185,29.962001,0.145,16.04,0.042,2,16.801,0.05,2,NA,NA,0,16.308,0.03,2,15.816,0.022,2,15.555,0.187,2,NA,NA,0,NA,NA,0
