radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
147.045174,0.15,12.584174,0.105,9.779,0.004,1,10.214,0.055,3,NA,NA,0,10.224,0.135,2,9.628,0.004,1,9.618,0.008,1,9.504,0.008,1,NA,NA,0
147.051699,0.309,12.611213,0.287,13.118,0.067,8,14.548,0.082,8,NA,NA,0,13.856,0.029,8,12.524,0.046,8,11.706,0.053,8,11.363,0.032,1,NA,NA,0
147.053428,0.686,12.617891,0.472,NA,NA,0,NA,NA,0,NA,NA,0,17.738,0.062,2,16.866,0.01,2,15.982,0.209,1,NA,NA,0,NA,NA,0
147.055414,0.705,12.716657,0.885,16.355,0.126,6,16.855,0.118,6,NA,NA,0,16.546,0.111,7,16.149,0.106,7,15.908,0.168,4,NA,NA,0,NA,NA,0
147.059988,0.613,12.540907,0.413,16.215,0.157,6,16.792,0.13,6,NA,NA,0,16.586,0.055,6,16.01,0.086,6,15.873,0.226,6,NA,NA,0,NA,NA,0
147.068031,0.532,12.537302,0.293,15.284,0.061,6,16.025,0.127,6,NA,NA,0,15.609,0.056,6,15.053,0.068,6,14.874,0.107,6,NA,NA,0,NA,NA,0
147.076099,1.296,12.524032,0.45,17.059,0.107,5,17.626,0.289,5,NA,NA,0,17.443,0.147,5,16.786,0.035,5,NA,NA,0,NA,NA,0,NA,NA,0
147.077317,0.61,12.500355,0.446,16.678,0.171,5,17.973,0.067,5,NA,NA,0,17.283,0.144,6,16.181,0.053,6,15.573,0.126,6,NA,NA,0,NA,NA,0
147.080871,0.672,12.792854,0.502,17.351,0.17,2,18.094,0.273,2,NA,NA,0,17.833,0.181,6,16.596,0.122,6,15.86,0.255,6,NA,NA,0,NA,NA,0
147.081269,0.366,12.7487,0.119,NA,NA,0,NA,NA,0,NA,NA,0,18.843,0.442,1,17.036,0.184,1,NA,NA,0,NA,NA,0,NA,NA,0
147.081931,0.656,12.540078,0.488,16.986,0.143,3,18.14,0.249,3,NA,NA,0,17.634,0.119,5,16.44,0.062,5,15.81,0.089,5,NA,NA,0,NA,NA,0
