radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
141.428776,0.191,40.679541,0.103,15.261,0,2,16.117,0.044,2, , ,0,15.514,0.017,2,14.876,0.032,2,14.622,0.104,2, , ,0, , ,0
141.434328,0.154,40.376308,0.141,14.193,0.022,2,14.579,0.016,2, , ,0,14.144,0.025,2,14.029,0.01,2,13.927,0.075,2, , ,0, , ,0
141.436191,0.106,40.334639,0.134,14.022,0.002,2,14.607,0.016,2, , ,0,14.079,0.032,2,13.81,0.01,2,13.648,0.02,2, , ,0, , ,0
141.437594,0.39,40.287795,0.633, , ,0, , ,0, , ,0,17.022,0.138,2,17.363,0.004,2, , ,0, , ,0, , ,0
141.437686,0.401,40.565976,0.287,15.848,0.003,2,16.212,0.038,2, , ,0,15.837,0.065,2,15.757,0.006,2,15.589,0.033,2, , ,0, , ,0
141.442437,0.444,40.734539,0.562,17.148,0.184,1,17.381,0.168,1, , ,0,17.088,0.033,2,16.954,0.091,2, , ,0, , ,0, , ,0
141.442588,0.464,40.247769,0.423,16.648,0.105,1,16.765,0.096,1, , ,0,16.523,0.014,2,16.294,0.061,2,16.434,0.209,2, , ,0, , ,0
141.445972,0.084,40.676518,0.066,13.278,0.031,2,14.179,0.015,2, , ,0,13.547,0.035,2,12.894,0.001,2,12.555,0.029,2, , ,0, , ,0
141.446105,0.177,40.288202,0.228,15.405,0.04,2,16.228,0.051,2, , ,0,15.694,0.025,2,14.914,0.002,2,14.528,0.091,2, , ,0, , ,0
141.447081,0.258,40.147106,0.339, , ,0, , ,0, , ,0,17.054,0.079,1,16.9,0.146,1, , ,0, , ,0, , ,0
141.447786,0.537,40.228363,0.425,16.434,0.162,2,17.294,0.037,2, , ,0,16.676,0.03,2,16.098,0.045,2,15.711,0.172,2, , ,0, , ,0
141.4506,0.434,40.484382,0.401,16.301,0.055,2,16.937,0.026,2, , ,0,16.369,0.047,2,16.02,0.031,2,15.847,0.108,2, , ,0, , ,0
141.4515,0.406,40.419042,0.584,16.053,0.006,2,17.24,0.201,2, , ,0,16.595,0.01,2,15.667,0.003,2,15.009,0.021,2, , ,0, , ,0
141.453757,0.36,40.22398,0.385,17.111,0.164,1,17.574,0.204,1, , ,0,17.349,0.112,1,16.663,0.125,1, , ,0, , ,0, , ,0
141.456119,0.441,40.370578,0.504, , ,0, , ,0, , ,0,17.785,0.162,1,16.459,0.106,1,15.901,0.167,1, , ,0, , ,0
141.457749,0.213,40.743528,0.195,15.407,0.053,2,16.128,0.021,2, , ,0,15.569,0.034,2,15.174,0.002,2,14.964,0.013,2, , ,0, , ,0
141.458836,0.785,40.691412,0.897, , ,0, , ,0, , ,0,17.646,0.156,1,17.015,0.187,1, , ,0, , ,0, , ,0
141.459871,0.388,40.558128,0.561,16.458,0.082,2,17.016,0.164,2, , ,0,16.528,0,2,16.291,0.004,2,16.237,0.048,2, , ,0, , ,0
141.462131,0.868,40.564589,0.451,17.07,0.166,1,17.69,0.214,1, , ,0,17.584,0.139,2,16.642,0.123,2,16.254,0.103,2, , ,0, , ,0
141.462185,0.082,40.183535,0.089,13.171,0.021,2,13.992,0.024,2, , ,0,13.363,0.024,2,12.89,0.023,2,12.564,0.035,2, , ,0, , ,0
141.463479,0.265,40.236602,0.505, , ,0, , ,0, , ,0,17.224,0.039,2,16.536,0.038,2, , ,0, , ,0, , ,0
141.472253,0.483,40.440266,0.575, , ,0, , ,0, , ,0,17.731,0.155,1,16.54,0.114,1, , ,0, , ,0, , ,0
141.472373,0.626,40.28719,0.802, , ,0, , ,0, , ,0,17.412,0.111,1,16.927,0.149,1, , ,0, , ,0, , ,0
141.476074,0.474,40.481137,0.443,16.475,0.069,2,17.712,0.103,2, , ,0,16.895,0.031,2,15.984,0.011,2,15.25,0.068,2, , ,0, , ,0
141.476077,0.289,40.328156,0.205,15.116,0.067,2,15.753,0.007,2, , ,0,15.205,0.019,2,14.895,0.014,2,14.657,0.005,2, , ,0, , ,0
141.47761,0.635,40.157397,0.629,16.723,0.073,2,17.243,0.009,2, , ,0,16.581,0.063,2,16.277,0.017,2,16.212,0.128,2, , ,0, , ,0
141.482012,0.391,40.546583,0.341,16.183,0.157,2,16.804,0.146,2, , ,0,16.218,0.04,2,16.01,0.027,2,15.761,0.246,2, , ,0, , ,0
141.482718,0.819,40.640403,0.434, , ,0, , ,0, , ,0,17.946,0.08,2,17.237,0.206,1,16.297,0.267,1, , ,0, , ,0
141.482786,0.323,40.647808,0.445,16.427,0.149,2,16.673,0.02,2, , ,0,16.32,0.027,2,16.272,0.02,2,16.121,0.201,1, , ,0, , ,0
141.483834,0.491,40.707633,0.437,16.685,0.08,2,17.255,0.012,2, , ,0,16.771,0.012,2,16.111,0.006,2,15.872,0.064,2, , ,0, , ,0
141.486596,0.199,40.571586,0.169,14.987,0.033,2,15.805,0.011,2, , ,0,15.229,0.051,2,14.672,0.014,2,14.4,0.004,2, , ,0, , ,0
141.490681,0.074,40.42248,0.051,13.103,0.027,2,13.575,0.009,2, , ,0,13.112,0.038,2,12.954,0.021,2,12.796,0.04,2, , ,0, , ,0
141.494155,0.77,40.682023,0.379, , ,0, , ,0, , ,0,17.298,0.097,1,16.855,0.146,1, , ,0, , ,0, , ,0
141.49449,0.429,40.40472,0.386, , ,0, , ,0, , ,0,17.867,0.093,2,16.823,0.019,2,15.504,0.093,2, , ,0, , ,0
141.498266,0.354,40.550358,0.53,16.664,0.02,2,17.049,0.196,2, , ,0,16.65,0.08,2,16.388,0.02,2,16.448,0.255,1, , ,0, , ,0
141.500187,0.182,40.080256,0.163,14.935,0.085,2,15.667,0.058,2, , ,0,15.076,0.022,2,14.542,0.012,2,14.295,0.036,2, , ,0, , ,0
141.502478,0.067,40.215019,0.087,13.344,0.015,2,13.886,0.006,2, , ,0,13.385,0.037,2,13.157,0.008,2,12.985,0.037,2, , ,0, , ,0
141.504681,0.377,40.115205,0.581, , ,0, , ,0, , ,0,17.253,0.052,2,17.034,0.092,2, , ,0, , ,0, , ,0
141.504783,0.293,40.381668,0.169,15.277,0.018,2,15.973,0.037,2, , ,0,15.423,0.018,2,15.017,0.046,2,14.692,0.023,2, , ,0, , ,0
141.514269,0.465,40.179732,0.306,16.248,0.077,1,17.514,0.18,1, , ,0,16.629,0.022,2,15.533,0.032,2,14.456,0.039,2, , ,0, , ,0
141.516239,0.132,40.668957,0.14,14.14,0.03,2,14.631,0.004,2, , ,0,14.169,0.037,2,14.023,0.005,2,13.832,0.068,2, , ,0, , ,0
141.516766,0.395,40.418929,0.47, , ,0, , ,0, , ,0,18.178,0.215,1,16.756,0.143,1,15.968,0.183,1, , ,0, , ,0
141.522339,0.133,40.706644,0.11,14.149,0.03,2,14.564,0.01,2, , ,0,14.121,0.041,2,13.998,0.009,2,13.869,0.068,2, , ,0, , ,0
141.526401,0.953,40.730217,0.516,16.42,0.018,2,17.745,0.261,2, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0
141.526497,0.68,40.535726,0.969, , ,0, , ,0, , ,0,17.437,0.125,1,17.257,0.211,1, , ,0, , ,0, , ,0
141.52843,0.318,40.374602,0.439,16.352,0.048,2,16.739,0.058,2, , ,0,16.413,0.035,2,16.141,0.011,2,16.208,0.208,1, , ,0, , ,0
141.532125,0.39,40.109191,0.496, , ,0, , ,0, , ,0,17.176,0.103,1,16.817,0.145,1, , ,0, , ,0, , ,0
141.533993,0.439,40.370124,0.479, , ,0, , ,0, , ,0,17.448,0.056,2,16.341,0.034,2,15.769,0.131,2, , ,0, , ,0
141.534495,0.672,40.574769,0.322,16.699,0.007,2,17.497,0.095,2, , ,0,17.011,0.01,2,16.269,0.097,2,15.894,0.114,2, , ,0, , ,0
