radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
183.312023,0.583,32.871468,0.469,16.767,0.066,6,17.454,0.276,6, , ,0,17.164,0.139,11,16.483,0.164,11,16.065,0.207,11, , ,0, , ,0
183.313027,0.657,32.437065,0.571, , ,0, , ,0, , ,0,17.527,0.191,9,16.589,0.136,8,15.905,0.202,5, , ,0, , ,0
183.316037,0.479,32.93608,0.224,15.035,0.071,13,16.012,0.116,13, , ,0,15.512,0.102,13,14.671,0.088,13,14.374,0.093,13, , ,0, , ,0
183.317059,0.803,32.759883,1.261,17.264,0.15,2,17.81,0.163,2, , ,0,17.48,0.073,1,17.011,0.121,1, , ,0, , ,0, , ,0
183.317957,0.568,33.018432,0.443,16.164,0.089,10,16.791,0.112,10, , ,0,16.489,0.143,10,16.011,0.12,10,15.748,0.18,9, , ,0, , ,0
183.319373,0.312,32.446126,0.209,14.612,0.069,12,15.635,0.115,12, , ,0,15.105,0.066,12,14.21,0.093,12,13.823,0.114,12, , ,0, , ,0
183.335638,0.743,32.747288,0.876,16.793,0.027,2,17.614,0.033,2, , ,0,17.339,0.12,3,16.737,0.038,3, , ,0, , ,0, , ,0
183.336527,0.591,32.674138,0.377, , ,0, , ,0, , ,0,18.11,0.084,3,17.131,0.077,3, , ,0, , ,0, , ,0
183.338939,0.798,32.624558,0.295,15.604,0.085,12,16.301,0.124,12, , ,0,15.911,0.086,12,15.38,0.089,12,15.226,0.13,12, , ,0, , ,0
183.348147,0.54,32.518946,0.439,16.799,0.121,7,17.282,0.237,7, , ,0,16.951,0.087,11,16.624,0.183,11,16.243,0.155,4, , ,0, , ,0
183.358761,0.027,32.905156,0.041, , ,0, , ,0, , ,0,18.602,0.194,1,17.183,0.14,1, , ,0, , ,0, , ,0
